ID,Type,l,w,r,B,H,nmin,nmax,TC
1,5,57,11,24,75,55,2,3,22
2,3,87,15,36,375,20,3,5,24
3,3,58,11,38,375,114,2,3,30
4,1,66,12,46,375,49,3,5,23
5,4,130,16,71,225,65,4,7,28
6,3,64,12,89,225,70,3,5,24
7,3,92,16,116,225,84,4,7,27
8,1,86,14,127,375,104,3,5,24
9,2,71,12,129,225,78,3,5,28
10,5,47,9,163,225,15,2,3,27
11,3,62,11,171,375,78,3,5,20
12,2,40,8,181,75,11,2,3,20
13,5,76,13,182,225,38,3,5,29
14,3,110,13,185,225,26,4,7,20
15,5,75,14,199,75,83,3,5,24
16,2,60,10,201,75,24,2,3,21
17,1,71,12,240,75,39,3,5,21
18,5,60,11,241,75,15,2,3,20
19,5,76,13,243,75,119,3,5,20
20,4,64,12,249,75,30,3,5,30
21,4,50,9,279,225,115,2,3,25
22,5,125,16,325,75,54,4,7,27
23,4,60,11,334,75,93,2,3,23
24,3,67,12,346,375,91,3,5,26
25,2,92,16,351,75,55,4,7,20
26,1,66,13,352,375,48,3,5,20
27,1,54,10,352,225,72,2,3,20
28,2,50,9,360,225,30,2,3,24
29,4,90,16,360,375,39,3,5,25
30,3,41,7,379,75,73,2,3,27
